takeoff_name,telegram_group_name,telegram_group_link,site_guide,geometry
Aberfoyle,South Scotland & Grampian,https://t.me/joinchat/WLIel5HDs6ViOThk,NA,"c(-4.40283, 56.18777)"
Abernant,South Wales,https://t.me/joinchat/ksosguoLjyI0ZGFk,NA,"c(-3.89551, 51.76015)"
Abernethy,South Scotland & Grampian,https://t.me/joinchat/WLIel5HDs6ViOThk,NA,"c(-3.32118, 56.32487)"
Abington,Borders,https://t.me/joinchat/gQNkjnuA51IwOTg0,NA,"c(-3.67677, 55.50938)"
Achnasheen,Highlands,https://t.me/joinchat/gx0JDL-JdONiMGZk,NA,"c(-5.13001, 57.543075)"
Afton,Isle of Wight,https://t.me/joinchat/tSmGEGKwsGpkMTg0,https://flywight.extremelynice.net/wp/wp-content/uploads/2017/03/iowhgpc-sites-guide_2019_03.pdf,"c(-1.47991, 50.67099)"
Alcock Tarn,Lakes,https://t.me/joinchat/nexjPNs95rY4Yzk8,NA,"c(-3.00033, 54.46255)"
Alva,South Scotland & Grampian,https://t.me/joinchat/WLIel5HDs6ViOThk,NA,"c(-3.8059, 56.161185)"
Alvie,Highlands,https://t.me/joinchat/gx0JDL-JdONiMGZk,NA,"c(-3.92057, 57.160375)"
An Liathanach,Highlands,https://t.me/joinchat/gx0JDL-JdONiMGZk,NA,"c(-5.099635, 57.56736)"
An Soutar,Highlands,https://t.me/joinchat/gx0JDL-JdONiMGZk,NA,"c(-4.89483, 57.36645)"
An Teallach,Highlands,https://t.me/joinchat/gx0JDL-JdONiMGZk,NA,"c(-5.2443, 57.79052)"
Aonach Mor,South Scotland & Grampian,https://t.me/joinchat/WLIel5HDs6ViOThk,NA,"c(-4.97029, 56.842215)"
Arenig Fawr,North Wales,https://t.me/joinchat/tP6m0r9gNJJmOTM8,https://www.snowdoniaskysports.co.uk/cms/node/19,"c(-3.7519, 52.91723)"
Arreton,Isle of Wight,https://t.me/joinchat/tSmGEGKwsGpkMTg0,NA,"c(-1.2274, 50.681125)"
Dragons Tail (Y Crib),South Wales,https://t.me/joinchat/ksosguoLjyI0ZGFk,NA,"c(-3.1702, 51.972375)"
Gordies Pike,Lakes,https://t.me/joinchat/nexjPNs95rY4Yzk8,NA,"c(-3.22876, 54.516775)"
Gummers How,Lakes,https://t.me/joinchat/nexjPNs95rY4Yzk8,NA,"c(-2.93962, 54.28817)"
Lord Herefords Kno,South Wales,https://t.me/joinchat/ksosguoLjyI0ZGFk,NA,"c(-3.12255, 52.00996)"
Meall Amhadaidh,South Scotland & Grampian,https://t.me/joinchat/WLIel5HDs6ViOThk,NA,"c(-4.2764, 56.395415)"
Suidh A Mhinn,Highlands,https://t.me/joinchat/gx0JDL-JdONiMGZk,NA,"c(-6.35319, 57.63479)"
Tap Onoth,South Scotland & Grampian,https://t.me/joinchat/WLIel5HDs6ViOThk,NA,"c(-2.85748, 57.3503)"
Backbarrow,Lakes,https://t.me/joinchat/nexjPNs95rY4Yzk8,NA,"c(-3.343665, 54.44115)"
