device_type,device_id,aircraft_model,registration,cn,tracked,identified,aircraft_type
F,000000,HPH 304CZ-17,OK-7777,KN,Y,Y,1
O,000001,Drone/UAV,aerobot,,Y,Y,5
F,000002,LS-6 18,OY-XRG,G2,Y,Y,1
F,000010,Unknown,D-EEAC,AC,Y,Y,6
F,000011,Skylane Airlony,D-MTEW,EW,Y,Y,3
F,000013,PA-28,D-EZIP,IP,Y,Y,2
O,000015,Paraglider,36445,,Y,Y,6
F,000063,,,,Y,N,1
F,0000FD,Taurus,F-JRDN,DN,Y,Y,1
O,000112,Motorplane,,,Y,Y,2
F,000114,,,,N,N,2
O,000115,Ultralight,D-MDAJ,,Y,Y,3
F,000229,Ventus 2t,OY-XPH,RA,Y,Y,1
F,000239,Ventus ct,D-KMSF,SF,Y,Y,1
F,000246,Apis 2,S5-NBQ,BQ,Y,Y,1
F,000256,ASK-16,D-KGOR,OR,Y,Y,1
O,000287,Paraglider,32712,,Y,Y,6
F,000296,Unknown,D-IEST,,Y,Y,6
F,000333,ASG-29,N229CW,S2H,Y,Y,1
F,000338,Unknown,,,Y,Y,6
F,000339,Arcus M,D-KKKY,C,Y,Y,1
O,000343,Paraglider,Thomas,,Y,Y,6
F,000366,ASW-27,N650PS,2P,Y,Y,1
F,000368,PIK-20 B,C-GORE,GP,Y,Y,1
F,000414,Paraglider,,,Y,Y,6
F,000451,ASG-29,N232FG,FG,Y,Y,1
F,000503,SZD-48-1 Jantar Std 2,SP-3152,DG,Y,Y,1
F,000597,LS-6,D-8997,IV,Y,Y,1
F,000617,ASW-20,OE-5292,A2,Y,Y,1
F,000654,Apis 2,G CJDL,DL,Y,Y,1
F,000685,LAK 19,D-XXXX,B9,Y,Y,1
F,000689,HPH 304C,N304GT,1M,Y,Y,1
O,000840,,,,Y,N,6
F,000844,ASW-20,D-KYVG,,Y,Y,1
O,000871,Paraglider,D-NDII,,Y,Y,6
O,000888,Paraglider,52143,,Y,Y,6
F,000935,ASH-25 MI,HB-2393,RM,Y,Y,1
F,000940,Duo Discus,65VL,ZIA,Y,Y,1
F,000967,Paraglider,38693,,Y,Y,6
F,001030,ASW-19,D-6985,KHM,Y,Y,1
F,001233,Unknown,G-EEBE,,Y,Y,6
F,001247,SZD-48-1 Jantar Std 2,SP-3212,B3,Y,Y,1
