takeoff_name,club,takeoff_lat,takeoff_lon,telegram_group_name
100 House,Joint Services,52.16338,-3.33262,Joint Services
Aberedw,Joint Services,52.164615,-3.3347,Joint Services
Aberfoyle,SMPC,56.18777,-4.40283,SMPC
Abernant,SW Wales,51.760149999999996,-3.89551,SW Wales
Abernethy,LLSC,56.32487,-3.32118,LLSC
Abington,LLSC,55.50938,-3.67677,LLSC
Achnasheen,Highland,57.543075,-5.13001,Highland
Afton,Isle of Wight,50.67099,-1.4799099999999998,Isle of Wight
Airways,Derbyshire,52.972635,-1.7490350000000001,Derbyshire
Alcock Tarn,Cumbria,54.46255,-3.00033,Cumbria
Alva,LLSC,56.161185,-3.8059,LLSC
Alvie,Highland,57.160375,-3.92057,Highland
An Liathanach,Highland,57.56736,-5.099634999999999,Highland
An Soutar,Highland,57.36645,-4.89483,Highland
An Teallach,Highland,57.79052,-5.2443,Highland
Aonach Mor,SMPC,56.842214999999996,-4.97029,SMPC
Arenig Fawr,Snowdonia,52.917230000000004,-3.7519,Snowdonia
Arreton,Isle of Wight,50.681125,-1.2273999999999998,Isle of Wight
"B""Dragons Tail (Y Crib)""",SE Wales,51.972375,-3.1702,SE Wales
"B""Gordies Pike""",Cumbria,54.516774999999996,-3.22876,Cumbria
"B""Gummers How""",Cumbria,54.28817,-2.93962,Cumbria
"B""Lord Herefords Knob""",Joint Services,52.00996,-3.1225500000000004,Joint Services
"B""Meall Amhadaidh""",SMPC,56.395415,-4.276400000000001,SMPC
"B""Suidh A Mhinn""",Highland,57.63479,-6.35319,Highland
"B""Tap Onoth""",Aberdeen,57.3503,-2.85748,Aberdeen
Bache,Mid Wales,52.2653,-3.142735,Mid Wales
Backbarrow,Cumbria,54.44115,-3.343665,Cumbria
Balladen,Pennine,53.68761,-2.27285,Pennine
Ballard Down,Wessex,50.63087,-1.94635,Wessex
Balquhidder,SMPC,56.36606,-4.34925,SMPC
Balquhider,SMPC,56.358235,-4.425140000000001,SMPC
Bank Hill,LLSC,56.172830000000005,-3.686185,LLSC
Barf,Cumbria,54.62967,-3.2179,Cumbria
Barkin,Dales,54.276305,-2.498085,Dales
Barton Fell,Cumbria,54.58517,-2.82593,Cumbria
Barton On Sea,Isle of Wight,50.735240000000005,-1.65853,Isle of Wight
Batcombe,Wessex,50.84403,-2.51013,Wessex
Beardown,South Devon,50.57238,-3.96795,South Devon
Beeftub,LLSC,55.40067,-3.49012,LLSC
Beer Head,Condors,50.68713,-3.10112,Condors
Beinn A'chait,Highland,56.84425,-3.862515,Highland
Beinn A Chaorainn,SMPC,56.918,-4.65657,SMPC
Beinn A Muice,Highland,57.41789,-4.951625,Highland
Beinn Dorain,SMPC,56.51697,-4.72987,SMPC
Beinn Eighe,Highland,57.58387,-5.38462,Highland
Beinn Leabhainn,SMPC,56.42644,-4.32405,SMPC
Beinn Lutharn Bheag,Highland,56.89547,-3.53437,Highland
Beinn Na Feusaige,Highland,57.53746,-5.18294,Highland
Beinn Narnain,SMPC,56.218045000000004,-4.78079,SMPC
Bell Hill,Wessex,50.8761,-2.28855,Wessex
Belstone,South Devon,50.69908,-3.96592,South Devon
